,sentences,entities,search_text
0,The donor of DA04442 has Type 2 Diabetes Mellitus.,[],"['The', 'donor', 'of', 'DA04442', 'has', 'Type', '2', 'Diabetes', 'Mellitus.']"
1,The Epstein-Barr virus EBV transformed DA04442.,[],"['The', 'Epstein-Barr', 'virus', 'EBV', 'transformed', 'DA04442.']"
2,The donor of SKG-3b has Squamous cell carcinoma of the cervix uteri.,[],"['The', 'donor', 'of', 'SKG-3b', 'has', 'Squamous', 'cell', 'carcinoma', 'of', 'the', 'cervix', 'uteri.']"
3,DA04442 is sourced from blood.,[],"['DA04442', 'is', 'sourced', 'from', 'blood.']"
4,"A patient of Diabetes, Type 2 contributed to DA04442.",[],"['A', 'patient', 'of', 'Diabetes,', 'Type', '2', 'contributed', 'to', 'DA04442.']"
5,TE 175.T was derived from lymph node.,[],"['TE', '175.T', 'was', 'derived', 'from', 'lymph', 'node.']"
6,The Epstein-Barr virus EBV transformed DA04442.,[],"['The', 'Epstein-Barr', 'virus', 'EBV', 'transformed', 'DA04442.']"
7,The Transformed cell line includes DA04442.,[],"['The', 'Transformed', 'cell', 'line', 'includes', 'DA04442.']"
8,The Rhesus macaque polyomavirus transformed GM16093.,[],"['The', 'Rhesus', 'macaque', 'polyomavirus', 'transformed', 'GM16093.']"
9,DA04442 cell line belongs to the category of Transformed cell line.,[],"['DA04442', 'cell', 'line', 'belongs', 'to', 'the', 'category', 'of', 'Transformed', 'cell', 'line.']"
10,The Human herpesvirus type 4 transformed DA04442.,[],"['The', 'Human', 'herpesvirus', 'type', '4', 'transformed', 'DA04442.']"
11,GM07209 is a type of Finite cell line.,[],"['GM07209', 'is', 'a', 'type', 'of', 'Finite', 'cell', 'line.']"
12,blood is the origin of the GM17735.,[],"['blood', 'is', 'the', 'origin', 'of', 'the', 'GM17735.']"
13,The Epstein Barr virus transformed GM17735.,[],"['The', 'Epstein', 'Barr', 'virus', 'transformed', 'GM17735.']"
14,RSOI is sourced from skin organ.,[],"['RSOI', 'is', 'sourced', 'from', 'skin', 'organ.']"
